"2022-07-27 09:41:06 [main] INFO  com.jwt.JwtauthenticationApplication - Starting JwtauthenticationApplication using Java 17.0.2 on DESKTOP-H8CBHU0 with PID 9464 (C:\Users\hp\OneDrive\Desktop\CTS INTERNSHIP\portfolio_management\jwtauthentication\target\classes started by Nachiketa in C:\Users\hp\OneDrive\Desktop\CTS INTERNSHIP\portfolio_management\jwtauthentication)
""2022-07-27 09:48:19 [http-nio-8081-exec-10] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:48:19 [http-nio-8081-exec-7] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:48:19 [http-nio-8081-exec-8] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:48:19 [http-nio-8081-exec-9] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:54:12 [http-nio-8081-exec-4] INFO  com.jwt.controller.JwtController - Returning TokeneyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJqYXNoYW4iLCJleHAiOjE2NTg5MzE4NTIsImlhdCI6MTY1ODg5NTg1Mn0.rCXHee_qOfOinFDrTLq5fMq0X81k5liRs3w9wKB0U6s
""2022-07-27 09:54:14 [http-nio-8081-exec-10] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:54:15 [http-nio-8081-exec-5] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 09:54:15 [http-nio-8081-exec-6] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 09:54:16 [http-nio-8081-exec-7] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:54:16 [http-nio-8081-exec-8] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:54:19 [http-nio-8081-exec-1] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:54:20 [http-nio-8081-exec-2] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:54:30 [http-nio-8081-exec-10] INFO  com.jwt.controller.JwtController - Forbidden Access
""2022-07-27 10:00:34 [http-nio-8081-exec-10] INFO  com.jwt.controller.JwtController - Forbidden Access
""2022-07-27 10:02:58 [http-nio-8081-exec-1] INFO  com.jwt.controller.JwtController - Returning TokeneyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJqYXNoYW4iLCJleHAiOjE2NTg5MzIzNzgsImlhdCI6MTY1ODg5NjM3OH0.wmaq5oV1-1h7ecP2inttM99qudrz-03-i6istJ0SjwQ
""2022-07-27 10:02:59 [http-nio-8081-exec-2] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:02:59 [http-nio-8081-exec-10] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 10:02:59 [http-nio-8081-exec-4] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 10:03:00 [http-nio-8081-exec-5] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:03:04 [http-nio-8081-exec-7] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:03:04 [http-nio-8081-exec-6] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:03:04 [http-nio-8081-exec-8] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:03:27 [http-nio-8081-exec-1] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:03:28 [http-nio-8081-exec-3] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:03:40 [http-nio-8081-exec-2] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 10:03:40 [http-nio-8081-exec-10] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 10:03:41 [http-nio-8081-exec-4] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:03:42 [http-nio-8081-exec-5] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:03:42 [http-nio-8081-exec-7] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:03:42 [http-nio-8081-exec-6] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:03:46 [http-nio-8081-exec-8] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 10:04:14 [http-nio-8081-exec-1] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 10:04:14 [http-nio-8081-exec-9] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 10:04:14 [http-nio-8081-exec-3] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:04:14 [http-nio-8081-exec-2] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:04:15 [http-nio-8081-exec-10] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:04:15 [http-nio-8081-exec-4] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 10:06:33 [RMI TCP Connection(27)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2022-07-27 10:06:34 [RMI TCP Connection(27)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2022-07-27 10:06:35 [RMI TCP Connection(27)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
